"Name of Satellite, Alternate Names",Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Expected Lifetime,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Launch Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAUSat-3,NR,Denmark,Aalborg University,Civil,Technology Development,,LEO,,0,770,787,1.19E-03,98.63,100.42,1,,,<1 yr.,Aalborg University,Denmark,Satish Dhawan Space Center,PSLV,2013-009B,39087,2013-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ABS-1A (Koreasat 2, Mugunghwa 2)",Korea,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,116.54,35785,35789,4.74E-05,1.86,1436.13,1459,800,1600,10 yrs.,Lockheed Martin Astro Space,USA,Cape Canaveral,Delta 2,1996-003A,23768,1996-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ABS-2 (Koreasat-8, ST-3)",NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,75,35778,35793,1.78E-04,0.08,1436.03,6330,,16000,15 yrs.,Space Systems/Loral,USA,Guiana Space Center,Ariane  5 ECA,2014-006A,39508,2014-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ABS-3 (Agila 2, Mabuhay 1)",Philippines,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,146.06,35769,35802,3.91E-04,0.05,1436.07,3775,1800,9000,15 yrs.,Space Systems/Loral,USA,Xichang Satellite Launch Center,Long March CZ3B,1997-042A,24901,1997-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABS-3A,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,-3,35788,35803,1.78E-04,0.1,1436,2000,,,15 yrs.,Boeing Satellite Systems,,Cape Canaveral,Falcon 9,2015-010A,40424,2015-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ABS-4 (ABS-2i, MBSat, Mobile Broadcasting Satellite, Han Byul)",NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,75,35780,35793,1.54E-04,0.01,1436.1,4143,1700,7400,12 yrs.,Space Systems/Loral,USA,Cape Canaveral,Atlas 3,2004-007A,28184,2004-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ABS-6 (ABS-1, LMI-1, Lockheed Martin-Intersputnik-1)",NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,159,35777,35794,2.02E-04,0.01,1436.08,2894,1730,"6,800 (EOL)",15 yrs.,Lockheed Martin,USA,Baikonur Cosmodrome,Proton,1999-053A,25924,1999-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ABS-7 (Koreasat 3, Mugungwha 3)",Korea,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,116.18,35780,35791,1.3E-04,0.01,1436.06,3500,1800,4800,15 yrs.,Lockheed Martin Astro Space,USA,Guiana Space Center,Ariane,1999-046A,25894,1999-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Orion 2 (NROL 6, USA 139)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,-14.5,35560,36013,5.37E-03,7.72,1436.14,4500,,,,TRW Space and Electronics,USA,Cape Canaveral,Titan IVA,1998-029A,25336,1998-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Orion 3 (NROL 19, USA 171)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,95.4,35589,35984,4.68E-03,3.2,1436.1,4500,,,,TRW Space and Electronics,USA,Cape Canaveral,Titan IV,2003-041A,27937,2003-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Orion 4 (NRO L-26, USA 202)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,44,35714,35937,2.64E-03,2.89,1438.8,5000,,,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2009-001A,33490,2009-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Orion 5 (NRO L-32, USA 223)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,100.9,35500,35500,0E+00,0,,5000,,,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2010-063A,37232,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Orion 6 (NRO L-15, USA 237)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,60,35771,35805,4.03E-04,0,23.94,5000,,,,National Reconnaissance Laboratory(?),USA,Cape Canaveral,Delta 4 Heavy,2012-034A,38528,2012-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AEHF-2 (Advanced Extremely High Frequency satellite-2, USA 235)",USA,USA,US Air Force,Military,Communications,,GEO,,-120,35700,35700,0E+00,20.39,1306.29,6169,,,14 yrs.,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2012-019A,38254,2012-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AEHF-3 (Advanced Extremely High Frequency satellite-3, USA 246)",NR,USA,US Air Force,Military,Communications,,GEO,,,35700,35700,0E+00,20.39,1306.29,6169,,,14 yrs.,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2013-050A,39256,2013-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aeneas,USA,USA,Department of Homeland Security,Government,Technology Development,,LEO,,0,480,790,2.21E-02,0.02,97.4,3,,,,University of Southern California,USA,Vandenberg AFB,Atlas 5,2012-048C,38760,2012-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 4.5A,USA,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,,0,495,791,2.11E-02,64.6,97.5,5,,,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2012-048K,38767,2012-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 4.5B,USA,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,,0,499,792,2.09E-02,64.6,97.6,5,,,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2012-048L,38768,2012-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 5A,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,,0,443,886,3.15E-02,120.3,98,5,,,2 yrs.,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2013-072D,39465,2013-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 5B,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,,0,443,886,3.15E-02,120.3,98,5,,,2 yrs.,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2013-072E,39466,2013-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 6A,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,,0,614,700,6.12E-03,97.98,97.88,5,,,3 yrs.,Aerospace Corporation,USA,Dombarovsky Air Base,Dnepr,2014-033AM,40045,2014-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 6B,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,,0,614,700,6.12E-03,97.98,97.88,5,,,3 yrs.,Aerospace Corporation,USA,Dombarovsky Air Base,Dnepr,2014-033AN,40046,2014-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 8A,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,,0,356,700,2.49E-02,55,95.19,5,,,,Aerospace Corporation,USA,Cape Canaveral,Atlas 5,2015-025J,40659,2015-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 8B,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,,0,356,700,2.49E-02,55,95.19,5,,,,Aerospace Corporation,USA,Cape Canaveral,Atlas 5,2015-025K,40660,2015-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afghansat-1 (Eutelsat 28B, Eutelsat 48B, Eutelsat W2M)",France,Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,,GEO,,48,35764,35808,5.22E-04,0.12,1436.08,3460,1555,7000,15 yrs.,EADS Astrium,France,Guiana Space Center,Ariane 5,2008-065B,33460,2008-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afristar ,USA,USA,1Worldspace,Commercial,Communications,,GEO,,20.97,35770,35802,3.8E-04,0.03,1436.09,2704,1530,5500,15 yrs.,Matra Marconi Space-France,France,Guiana Space Center,Ariane 44L,1998-063A,25515,1998-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIM (Aeronomy of Ice in Mesosphere),USA,USA,"Center for Atmospheric Sciences, Hampton University/NASA",Government,Earth Observation,Earth Science,LEO,,0,544,552,5.78E-04,97.9,96.2,215,197,216,2 yrs.,Orbital Sciences Corp.,USA,Vandenberg AFB,Pegasus XL,2007-015A,31304,2007-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AISat-1,Germany,Germany,German Aerospace Center (DLR),Government,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,643,660,1.21E-03,98.25,97.76,14,,,,German Aerospace Center (DLR),Germany,Sriharikota Launch Station,PSLV-CA,2014-034B,40054,2014-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AISSat-1 (Automatic Identification System Satellite-1),Norway,Norway,Norwegian Coastal Admnistration,Government,Communications,Automatic Identification System (AIS),LEO,Polar,0,615,632,1.22E-03,98,97.2,6,,,3 yrs.,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,Canada,Sriharikota Launch Station,PSLV,2010-035C,36797,2010-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
